title,release_year,release_month,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,genre_count,production_company_count,language_count,is_english,has_tagline,log_budget,log_revenue,log_popularity,log_vote_count
Toy Story,1995.0,10.0,30000000.0,373554033.0,81.0,21.946943,7.7,5415.0,en,3,1,1,1,0,17.216707972959764,19.73857322141759,3.133184725019919,8.59711281459211
Jumanji,1995.0,12.0,65000000.0,262797249.0,104.0,17.015539,6.9,2413.0,en,3,3,2,1,1,17.989897843244528,19.386893380288626,2.891234663263995,7.789040401657477
Grumpier Old Men,1995.0,12.0,0.0,0.0,101.0,11.7129,6.5,92.0,en,2,2,1,1,1,0.0,0.0,2.542617225973075,4.532599493153256
Waiting to Exhale,1995.0,12.0,16000000.0,81452156.0,127.0,3.859495,6.1,34.0,en,3,1,1,1,1,16.588099342704055,18.215526375166277,1.5809345230484193,3.5553480614894135
Father of the Bride Part II,1995.0,2.0,0.0,76578911.0,106.0,8.387519,5.7,173.0,en,1,2,1,1,1,0.0,18.153832296547648,2.2393810410562476,5.159055299214529
Heat,1995.0,12.0,60000000.0,187436818.0,170.0,17.924927,7.7,1886.0,en,4,3,2,1,1,17.909855136853043,19.04895238125583,2.940479941984501,7.54274354536855
Sabrina,1995.0,12.0,58000000.0,0.0,127.0,6.677277,6.2,141.0,en,2,7,2,1,1,17.87595358575207,0.0,2.0382649269976163,4.955827057601261
Tom and Huck,1995.0,12.0,0.0,0.0,97.0,2.561161,5.4,45.0,en,4,1,2,1,1,0.0,0.0,1.270086615292704,3.828641396489095
Sudden Death,1995.0,12.0,35000000.0,64350171.0,106.0,5.23158,5.5,174.0,en,3,3,1,1,1,17.370858648025116,17.979850164885512,1.8296299122023696,5.1647859739235145
GoldenEye,1995.0,11.0,58000000.0,352194034.0,130.0,14.686036,6.6,1194.0,en,3,2,3,1,1,17.87595358575207,19.679692817483186,2.752770889828004,7.085901464365611
The American President,1995.0,11.0,62000000.0,107879496.0,106.0,6.318445,6.5,199.0,en,3,2,1,1,1,17.9426449591384,18.496525393636873,1.9903978737124228,5.298317366548036
Dracula: Dead and Loving It,1995.0,12.0,0.0,0.0,88.0,5.430331,5.7,210.0,en,2,3,2,1,0,0.0,0.0,1.8610260143740653,5.351858133476067
Balto,1995.0,12.0,0.0,11348324.0,78.0,12.140733,7.1,423.0,en,3,3,1,1,1,0.0,16.244580713908604,2.5757167953666604,6.049733455231958
Nixon,1995.0,12.0,44000000.0,13681765.0,192.0,5.092,7.1,72.0,en,2,2,1,1,1,17.599700214609808,16.43157455539407,1.8069764350329154,4.290459441148391
Cutthroat Island,1995.0,12.0,98000000.0,10017322.0,119.0,7.284477,5.7,137.0,en,2,4,2,1,1,18.400478046838927,16.119826452257225,2.114383522754425,4.927253685157205
Casino,1995.0,11.0,52000000.0,116112375.0,178.0,10.137389,7.8,1343.0,en,2,4,1,1,1,17.76675429577647,18.570069038747533,2.4103078264172972,7.203405521083095
Sense and Sensibility,1995.0,12.0,16500000.0,135000000.0,136.0,10.673167,7.2,364.0,en,2,2,1,1,1,16.61887099947687,18.72078534381011,2.457292789087507,5.8998973535824915
Four Rooms,1995.0,12.0,4000000.0,4300000.0,98.0,9.026586,6.5,539.0,en,2,2,1,1,1,15.201805169084134,15.274125813221904,2.3052401651684007,6.29156913955832
Ace Ventura: When Nature Calls,1995.0,11.0,30000000.0,212385533.0,90.0,8.205448,6.1,1128.0,en,3,3,1,1,1,17.216707972959764,19.173913737668016,2.219795482702255,7.029087564149662
Money Train,1995.0,11.0,60000000.0,35431113.0,103.0,7.337906,5.4,224.0,en,3,1,1,1,1,17.909855136853043,17.38310091862791,2.120812105708321,5.41610040220442
